"config_id","hamming","state","adj_sets","HEE_EC","EC_ED","EC_P","EC_MH","PH_MH","SA_MH","SI_MH","EC_PH"
1,0,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T,U_AH} | {C,EC,H,T,U}","original","original","original","original","original","original","original","original"
2,1,"cyclic","","reversed","original","original","original","original","original","original","original"
3,1,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T,U_AH} | {C,D,EC,ED,H,T,U,U_AH}","latent","original","original","original","original","original","original","original"
4,1,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T,U_AH} | {C,EC,H,T,U}","original","reversed","original","original","original","original","original","original"
5,2,"cyclic","","reversed","reversed","original","original","original","original","original","original"
6,2,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T,U_AH} | {C,D,EC,H,T,U,U_AH}","latent","reversed","original","original","original","original","original","original"
7,1,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T,U_AH} | {C,EC,H,T,U}","original","latent","original","original","original","original","original","original"
8,2,"cyclic","","reversed","latent","original","original","original","original","original","original"
9,2,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T,U_AH} | {C,D,EC,ED,H,T,U,U_AH}","latent","latent","original","original","original","original","original","original"
10,1,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T,U_AH} | {C,D,EC,ED,H,T,U,U_AH} | {C,EC,H,P,T,U}","original","original","reversed","original","original","original","original","original"
11,2,"cyclic","","reversed","original","reversed","original","original","original","original","original"
12,2,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T,U_AH} | {C,D,EC,ED,H,T,U,U_AH}","latent","original","reversed","original","original","original","original","original"
13,2,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T,U_AH} | {C,D,EC,H,T,U,U_AH} | {C,EC,H,P,T,U}","original","reversed","reversed","original","original","original","original","original"
14,3,"cyclic","","reversed","reversed","reversed","original","original","original","original","original"
15,3,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T,U_AH} | {C,D,EC,H,T,U,U_AH}","latent","reversed","reversed","original","original","original","original","original"
16,2,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T,U_AH} | {C,D,EC,ED,H,T,U,U_AH} | {C,EC,H,P,T,U}","original","latent","reversed","original","original","original","original","original"
17,3,"cyclic","","reversed","latent","reversed","original","original","original","original","original"
18,3,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T,U_AH} | {C,D,EC,ED,H,T,U,U_AH}","latent","latent","reversed","original","original","original","original","original"
19,1,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T,U_AH} | {C,D,EC,ED,H,T,U,U_AH} | {C,EC,H,P,T,U}","original","original","latent","original","original","original","original","original"
20,2,"cyclic","","reversed","original","latent","original","original","original","original","original"
21,2,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T,U_AH} | {C,D,EC,ED,H,T,U,U_AH}","latent","original","latent","original","original","original","original","original"
22,2,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T,U_AH} | {C,D,EC,H,T,U,U_AH} | {C,EC,H,P,T,U}","original","reversed","latent","original","original","original","original","original"
23,3,"cyclic","","reversed","reversed","latent","original","original","original","original","original"
24,3,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T,U_AH} | {C,D,EC,H,T,U,U_AH}","latent","reversed","latent","original","original","original","original","original"
25,2,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T,U_AH} | {C,D,EC,ED,H,T,U,U_AH} | {C,EC,H,P,T,U}","original","latent","latent","original","original","original","original","original"
26,3,"cyclic","","reversed","latent","latent","original","original","original","original","original"
27,3,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T,U_AH} | {C,D,EC,ED,H,T,U,U_AH}","latent","latent","latent","original","original","original","original","original"
28,1,"cyclic","","original","original","original","reversed","original","original","original","original"
29,2,"cyclic","","reversed","original","original","reversed","original","original","original","original"
30,2,"cyclic","","latent","original","original","reversed","original","original","original","original"
31,2,"cyclic","","original","reversed","original","reversed","original","original","original","original"
32,3,"cyclic","","reversed","reversed","original","reversed","original","original","original","original"
